x	y	f(x,y)
-6.55172 7.14286 1708.16228
-5.86207 7.14286 1856.47685
-5.17241 7.14286 2053.71344
-4.48276 7.14286 2151.26278
-3.79310 7.14286 2082.45938
-3.10345 7.14286 1946.13833
-2.41379 7.14286 1882.75796
-1.72414 7.14286 1898.35298
-1.03448 7.14286 1856.97077
-0.34483 7.14286 1651.07084
0.34483 7.14286 1336.31331
1.03448 7.14286 1061.79597
1.72414 7.14286 883.17894
2.41379 7.14286 692.92174
3.10345 7.14286 355.07173
3.79310 7.14286 -124.33636
4.48276 7.14286 -604.84420
5.17241 7.14286 -987.61672
5.86207 7.14286 -1339.31939
6.55172 7.14286 -1808.56149
7.24138 7.14286 -2439.63305
7.93103 7.14286 -3116.99288
8.62069 7.14286 -3710.08492
9.31034 7.14286 -4236.97381
10.00000 7.14286 -4841.70316
-10.00000 8.57143 1496.16340
-9.31034 8.57143 1806.19184
-8.62069 8.57143 2125.44332
-7.93103 8.57143 2309.87425
-7.24138 8.57143 2341.41997
-6.55172 8.57143 2350.63657
-5.86207 8.57143 2453.06521
-5.17241 8.57143 2604.41588
-4.48276 8.57143 2656.07929
-3.79310 8.57143 2541.38997
-3.10345 8.57143 2359.18299
-2.41379 8.57143 2249.91669
-1.72414 8.57143 2219.62579
-1.03448 8.57143 2132.35765
-0.34483 8.57143 1880.57179
0.34483 8.57143 1519.92834
1.03448 8.57143 1199.52507
1.72414 8.57143 975.02212
2.41379 8.57143 738.87899
3.10345 8.57143 355.14306
3.79310 8.57143 -170.15096
4.48276 8.57143 -696.54473
5.17241 8.57143 -1125.20317
5.86207 8.57143 -1522.79176
6.55172 8.57143 -2037.91979
7.24138 8.57143 -2714.87728
7.93103 8.57143 -3438.12304
8.62069 8.57143 -4077.10100
9.31034 8.57143 -4649.87582
10.00000 8.57143 -5300.49109
-10.00000 10.00000 2146.70131
-9.31034 10.00000 2410.84382
-8.62069 10.00000 2684.20938
-7.93103 10.00000 2822.75438
-7.24138 10.00000 2808.41418
-6.55172 10.00000 2771.74485
-5.86207 10.00000 2828.28757
-5.17241 10.00000 2933.75231
-4.48276 10.00000 2939.52980
-3.79310 10.00000 2778.95455
-3.10345 10.00000 2550.86165
-2.41379 10.00000 2395.70942
-1.72414 10.00000 2319.53259
-1.03448 10.00000 2186.37853
-0.34483 10.00000 1888.70674
0.34483 10.00000 1482.17736
1.03448 10.00000 1115.88817
1.72414 10.00000 845.49929
2.41379 10.00000 563.47024
3.10345 10.00000 133.84838
3.79310 10.00000 -437.33156
4.48276 10.00000 -1009.61126
5.17241 10.00000 -1484.15562
5.86207 10.00000 -1927.63014
6.55172 10.00000 -2488.64410
7.24138 10.00000 -3211.48751
7.93103 10.00000 -3980.61919
8.62069 10.00000 -4665.48309
9.31034 10.00000 -5284.14383
10.00000 10.00000 -5980.64503
